ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Students,INSTRUCTOR_ID,Instructor,Instructor_Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202320,Military Science,MSL,30200,Applied Ldrshp In Sm Unit Ops,LEC,002,22898,4.0,4.0,,Dept,TR,10:30 AM-11:45 AM,01/09/23-04/29/23,LWSN B134,18,20,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,30200,Applied Ldrshp In Sm Unit Ops,LEC,001,22897,4.0,4.0,,Dept,TR,01:30 PM-02:45 PM,01/09/23-04/29/23,LWSN B134,11,20,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,40200,Company Grade Leadership,LEC,006,14373,4.0,4.0,,Dept,TR,10:30 AM-11:45 AM,01/09/23-04/29/23,AR 101,30,48,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,10501,Introduction To Games,LEC,001,23089,3.0,3.0,,,MW,01:30 PM-02:20 PM,01/09/23-04/29/23,WALC 3087,71,75,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,20500,Portfolio Review,DIS,001,12036,0.0,0.0,,,M,07:30 AM-08:20 AM,01/09/23-04/29/23,SYNC ONLINE,91,150,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,S/U,Unk,Unk,F8,128.0,150.0,22.0
202320,Computer Graphics Technology,CGT,25500,Game Development II,LEC,004,12962,3.0,3.0,,,TR,10:30 AM-11:20 AM,01/09/23-04/29/23,STEW 314,105,120,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,Reg,A1,A2,46,108.0,120.0,12.0
202320,Computer Information Tech,CNIT,30800,Game Development II,LEC,006,21254,3.0,3.0,,,TR,10:30 AM-11:20 AM,01/09/23-04/29/23,STEW 314,2,120,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,Reg,A1,A2,46,108.0,120.0,12.0
202320,Computer Graphics Technology,CGT,33500,Game Scripting,LEC,002,27657,3.0,3.0,,,MW,11:30 AM-12:20 PM,01/09/23-04/29/23,KNOY 306,23,30,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,39000,Game Production II,LEC,010,11683,3.0,3.0,,,TR,10:30 AM-11:20 AM,01/09/23-04/29/23,STEW 314,1,120,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,Reg,A1,A2,46,108.0,120.0,12.0
202320,Computer Graphics Technology,CGT,40500,Senior Portfolio Review,DIS,004,29316,0.0,0.0,,,M,07:30 AM-08:20 AM,01/09/23-04/29/23,SYNC ONLINE,37,150,No,32203037.0,"Howard, Robert T.",Clinical Assistant Professor,Y,S/U,Unk,Unk,F8,128.0,150.0,22.0
202320,Schl of Construction Mgmt Tech,CM,10000,Intro To Construction Mgmt,LEC,001,12591,3.0,3.0,,,TR,01:30 PM-02:45 PM,01/09/23-04/29/23,STEW 320,76,100,No,14428261.0,"Hubbard, Bryan J.",Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,20000,Intermediate Pre-Con Mgmt,LEC,001,11252,9.0,9.0,,,MW,02:30 PM-05:20 PM,01/09/23-04/29/23,PHYS 223,99,90,No,14428261.0,"Hubbard, Bryan J.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,30000,Advanced Pre-Con Mgmt,LEC,004,11239,9.0,9.0,,,TR,02:30 PM-05:20 PM,01/09/23-04/29/23,CRTN 1011,83,81,No,14428261.0,"Hubbard, Bryan J.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
